ScientistName,preparation,date,components,login,password
Рукавичкин Григорий Петрович,Бромгексин,1247-10-09,"Chemical_15 Chemical_40 Chemical_5
",Рукавичкин_ГП,asdfQWEgn7
Рубейкин Вячеслав Петрович,Метформин,0949-11-22,"Chemical_15 Chemical_58 Chemical_1
",Рубейкин_ВП,asdfQWEhv5
Черкина Катерина Егоровна,Левофлоксацин,1299-10-11,"Chemical_18 Chemical_51 Chemical_58
",Черкина_КЕ,asdfQWEH1j
Приданов Вадим Игоревич,Амоксициллин,1511-05-20,"Chemical_43 Chemical_88 Chemical_96
",Приданов_ВИ,asdfQWEjv9
Шехоболова Светлана Никитична,Железа препараты,1245-05-18,"Chemical_45 Chemical_29 Chemical_5
",Шехоболова_СН,asdfQWEk6K
Навотнева Лиза Богдановна,Кладрибин,1645-05-17,"Chemical_82 Chemical_43 Chemical_98
",Навотнева_ЛБ,asdfQWEh1H
Балькина Анна Игоревна,Золекс,1744-10-09,"Chemical_33 Chemical_16 Chemical_77
",Балькина_АИ,asdfQWEH65
Пудонин Виталий Данилович,Енап,0958-06-13,"Chemical_4 Chemical_4 Chemical_92
",Пудонин_ВД,asdfQWEh42
Самрова Елизавета Евгеньевна,Сертралин,0992-02-25,"Chemical_78 Chemical_50 Chemical_12
",Самрова_ЕЕ,asdfQWEkH6
Близнюкова Ирина Эдуардовна,Метформин,1034-08-26,"Chemical_51 Chemical_60 Chemical_94
",Близнюкова_ИЭ,asdfQWEH4k
Мышлин Альберт Иванович,Амоксиклав,1497-03-02,"Chemical_100 Chemical_2 Chemical_83
",Мышлин_АИ,asdfQWEj63
Столинская Дарья Викторовна,Алпразолам,1743-11-06,"Chemical_75 Chemical_70 Chemical_49
",Столинская_ДВ,asdfQWEg3F
Горбецкий Альберт Павлович,Ёжик,0968-10-24,"Chemical_79 Chemical_33 Chemical_90
",Горбецкий_АП,asdfQWEg6v
Личутина Екатерина Богдановна,Женьшень,1042-06-18,"Chemical_39 Chemical_62 Chemical_89
",Личутина_ЕБ,asdfQWEH19
Двизов Ярослав Данилович,Амоксиклав,1339-01-01,"Chemical_13 Chemical_46 Chemical_26
",Двизов_ЯД,asdfQWEj5g
Шишулина Анастасия Дмитриевна,Мелоксикам,2001-07-13,"Chemical_41 Chemical_68 Chemical_71
",Шишулина_АД,asdfQWEGg4
Андрюшина Дарья Кирилловна,Кладрибин,1293-10-04,"Chemical_92 Chemical_54 Chemical_82
",Андрюшина_ДК,asdfQWEh3K
Оршин Антон Аркадиевич,Амитриптилин,1529-08-08,"Chemical_91 Chemical_3 Chemical_39
",Оршин_АА,asdfQWEHL4
Шляпников Иван Максимович,Оксикодон,1128-07-09,"Chemical_61 Chemical_27 Chemical_97
",Шляпников_ИМ,asdfQWEGk7
Самарков Вадим Андреевич,Железа препараты,0956-08-14,"Chemical_42 Chemical_30 Chemical_66
",Самарков_ВА,asdfQWEFk5
Колужина Виктория Богдановна,Виагра,1683-10-21,"Chemical_7 Chemical_14 Chemical_66
",Колужина_ВБ,asdfQWEh9j
Баласанов Георгий Данилович,Бетаметазон,1843-03-13,"Chemical_45 Chemical_89 Chemical_70
",Баласанов_ГД,asdfQWEmK8
Самолюбов Герасим Вадимович,Бактрим,1297-09-04,"Chemical_44 Chemical_21 Chemical_5
",Самолюбов_ГВ,asdfQWEF0v
Любиров Тарас Яковлевич,Бетаин,1848-08-18,"Chemical_81 Chemical_15 Chemical_67
",Любиров_ТЯ,asdfQWEhb2
Кочеляева Александра Игоревна,Лоразепам,0989-06-20,"Chemical_89 Chemical_40 Chemical_79
",Кочеляева_АИ,asdfQWEHh9
Плантюрина Алёна Аркадьевна,Индометацин,1915-06-14,"Chemical_64 Chemical_99 Chemical_46
",Плантюрина_АА,asdfQWEF97
Мамаикина Лиза Леонидовна,Ретардин,1463-01-27,"Chemical_31 Chemical_58 Chemical_82
",Мамаикина_ЛЛ,asdfQWEmJ7
Собина Галина Ивановна,Дектанол,1299-01-25,"Chemical_87 Chemical_6 Chemical_84
",Собина_ГИ,asdfQWEH98
Антогина Лариса Евгеньевна,Железа препараты,1991-01-07,"Chemical_86 Chemical_24 Chemical_78
",Антогина_ЛЕ,asdfQWEFg3
Бандалетов Илья Викторович,Дикарбазин,1977-02-07,"Chemical_86 Chemical_12 Chemical_48
",Бандалетов_ИВ,asdfQWEFj5
Жарченков Николай Евгеньевич,Зинорам,1191-04-27,"Chemical_49 Chemical_10 Chemical_23
",Жарченков_НЕ,asdfQWEj2L
Семушин Эдуард Кириллович,Валацикловир,1178-02-21,"Chemical_51 Chemical_23 Chemical_78
",Семушин_ЭК,asdfQWEg6c
Курузаева Анна Алексеевна,Глюкозамин,1860-08-28,"Chemical_43 Chemical_89 Chemical_72
",Курузаева_АА,asdfQWEH58
Худеньких Вадим Максимович,Амоксициллин,1986-02-21,"Chemical_15 Chemical_41 Chemical_84
",Худеньких_ВМ,asdfQWEh1K
Щучина Галина Эдуардовна,Дексаметазон,1181-07-23,"Chemical_37 Chemical_89 Chemical_64
",Щучина_ГЭ,asdfQWEGF7
Чарышкин Игорь Денисович,Рамиприл,1092-10-21,"Chemical_41 Chemical_65 Chemical_60
",Чарышкин_ИД,asdfQWEh1k
Желнеронов Георгий Тимофеевич,Аллопуринол,1955-12-21,"Chemical_96 Chemical_44 Chemical_73
",Желнеронов_ГТ,asdfQWEGk2
Тенлев Федор Игоревич,Омега-3 кислоты,1389-01-20,"Chemical_60 Chemical_79 Chemical_80
",Тенлев_ФИ,asdfQWEF6c
Дохин Борис Антонович,Левотироксин,1765-05-21,"Chemical_86 Chemical_69 Chemical_98
",Дохин_БА,asdfQWEG16
Аляудинова Яна Аркадьевна,Дуодарт,0926-11-12,"Chemical_81 Chemical_28 Chemical_46
",Аляудинова_ЯА,asdfQWEH53
Вотова Лариса Олеговна,Линезолид,1245-11-26,"Chemical_82 Chemical_82 Chemical_78
",Вотова_ЛО,asdfQWEjG6
Рыжекова Алиса Богдановна,Сетирозин,1531-11-26,"Chemical_2 Chemical_6 Chemical_37
",Рыжекова_АБ,asdfQWEH1G
Муренкаева Елизавета Аркадьевна,Омега-3 кислоты,0912-07-22,"Chemical_81 Chemical_59 Chemical_73
",Муренкаева_ЕА,asdfQWEG39
Мокрышева Зинаида Вадимовна,Бетаметазон,1935-10-15,"Chemical_36 Chemical_91 Chemical_93
",Мокрышева_ЗВ,asdfQWEg2L
Дащинский Ярослав Данилович,Мидокалм,1198-09-04,"Chemical_66 Chemical_33 Chemical_93
",Дащинский_ЯД,asdfQWEG31
Полванова Клавдия Олеговна,Спазмалгон,1544-04-05,"Chemical_73 Chemical_90 Chemical_64
",Полванова_КО,asdfQWEkL1
Мираков Михаил Алексиевич,Росувастатин,1424-02-15,"Chemical_45 Chemical_6 Chemical_78
",Мираков_МА,asdfQWEGL6
Коненкина Софья Леонидовна,Дектанол,1878-10-03,"Chemical_24 Chemical_45 Chemical_72
",Коненкина_СЛ,asdfQWEg53
Лисанский Илья Максимович,Индометацин,1653-09-17,"Chemical_42 Chemical_85 Chemical_96
",Лисанский_ИМ,asdfQWEG6J
Домашников Яков Юрьевич,Ингавирин,1222-03-06,"Chemical_52 Chemical_85 Chemical_87
",Домашников_ЯЮ,asdfQWEmc5
Трошнин Павел Денисович,Парацетамол,1410-10-14,"Chemical_75 Chemical_4 Chemical_52
",Трошнин_ПД,asdfQWEG63
Акимочкина Александра Аркадьевна,Ниссан,1755-10-23,"Chemical_13 Chemical_37 Chemical_50
",Акимочкина_АА,asdfQWEj6v
Бушина Софья Олеговна,Глюкозамин,1262-08-12,"Chemical_62 Chemical_31 Chemical_84
",Бушина_СО,asdfQWEkF6
Коптикова Раиса Вадимовна,Небиволол,1613-07-27,"Chemical_54 Chemical_59 Chemical_29
",Коптикова_РВ,asdfQWEjn3
Матюшова Надежда Василевна,Сульфасалазин,1362-08-01,"Chemical_95 Chemical_17 Chemical_93
",Матюшова_НВ,asdfQWEG1m
Яйцев Григорий Петрович,Алпразолам,1829-04-02,"Chemical_100 Chemical_29 Chemical_69
",Яйцев_ГП,asdfQWEH2J
Пырькова Алина Викторовна,Вальтрекс,1704-12-07,"Chemical_36 Chemical_68 Chemical_52
",Пырькова_АВ,asdfQWEj62
Епанчина Клавдия Борисовна,Кладрибин,1451-07-16,"Chemical_28 Chemical_71 Chemical_67
",Епанчина_КБ,asdfQWEFv0
Михеюшкин Яков Игоревич,Тикалиптин,0905-03-24,"Chemical_72 Chemical_18 Chemical_7
",Михеюшкин_ЯИ,asdfQWEj82
Гнуздев Евгений Яковлевич,Золедроновая кислота,2002-09-15,"Chemical_27 Chemical_15 Chemical_14
",Гнуздев_ЕЯ,asdfQWEHg6
Мятченкова Евгения Сергеевна,Омепразол,1273-04-07,"Chemical_23 Chemical_29 Chemical_48
",Мятченкова_ЕС,asdfQWEk8G
Оруджалиев Герасим Данилович,Рамиприл,0916-05-19,"Chemical_33 Chemical_36 Chemical_98
",Оруджалиев_ГД,asdfQWEm1g
Зыбинов Борис Тимофеевич,Парацетамол,1184-05-26,"Chemical_41 Chemical_15 Chemical_54
",Зыбинов_БТ,asdfQWEmH2
Лужинская Евгения Евгеньевна,Росувастатин,1217-08-04,"Chemical_28 Chemical_3 Chemical_32
",Лужинская_ЕЕ,asdfQWEgK1
Типтева София Богдановна,Омепразол,1056-08-24,"Chemical_28 Chemical_97 Chemical_54
",Типтева_СБ,asdfQWEk1h
Маслеева Ольга Петровна,Пропанолол,1624-06-15,"Chemical_63 Chemical_10 Chemical_59
",Маслеева_ОП,asdfQWEh13
Чумакаев Денис Юриевич,Сульфасалазин,1852-09-27,"Chemical_75 Chemical_27 Chemical_11
",Чумакаев_ДЮ,asdfQWEF0n
Микрюков Аркадий Антонович,Урсофальк,1797-03-12,"Chemical_92 Chemical_86 Chemical_95
",Микрюков_АА,asdfQWEm4G
Пигунова Елизавета Федоровна,Триптаны,1546-12-10,"Chemical_14 Chemical_68 Chemical_42
",Пигунова_ЕФ,asdfQWEjF4
Ящикова Елизавета Максимовна,Бензоилпероксид,1887-05-26,"Chemical_5 Chemical_18 Chemical_3
",Ящикова_ЕМ,asdfQWEg4F
Аиненков Роман Леонидович,Мелатонин,1625-10-28,"Chemical_77 Chemical_76 Chemical_24
",Аиненков_РЛ,asdfQWEm23
Даданина Ксения Максимовна,Енап,0984-11-05,"Chemical_4 Chemical_7 Chemical_89
",Даданина_КМ,asdfQWEk4K
Вазильева Марина Яковлевна,Валацикловир,1000-10-15,"Chemical_31 Chemical_53 Chemical_1
",Вазильева_МЯ,asdfQWEh4g
Колокатов Владислав Вадимович,Лоразепам,1731-01-12,"Chemical_63 Chemical_47 Chemical_21
",Колокатов_ВВ,asdfQWEFv6
Мадаминова Валерия Валерьевна,Транексамовая кислота,1219-09-11,"Chemical_8 Chemical_80 Chemical_62
",Мадаминова_ВВ,asdfQWEH4K
Ловгинская Оксана Богдановна,Итрафунгол,1517-02-21,"Chemical_94 Chemical_29 Chemical_18
",Ловгинская_ОБ,asdfQWEjF8
Копнин Роман Юрьевич,Протоник,1148-05-10,"Chemical_30 Chemical_53 Chemical_37
",Копнин_РЮ,asdfQWEGj3
Бызин Александр Олегович,Тикалиптин,0953-10-01,"Chemical_93 Chemical_26 Chemical_28
",Бызин_АО,asdfQWEgc4
Валяскина Раиса Леонидовна,Агонал,1355-01-24,"Chemical_67 Chemical_61 Chemical_3
",Валяскина_РЛ,asdfQWEH6m
Щекина Евгения Федоровна,Азитромицин,1555-01-19,"Chemical_76 Chemical_69 Chemical_76
",Щекина_ЕФ,asdfQWEGc1
Лучшев Федор Алексеевич,Омега-3 кислоты,1231-01-14,"Chemical_58 Chemical_87 Chemical_97
",Лучшев_ФА,asdfQWEGm1
Хубежев Никита Борисович,Небиволол,1175-06-13,"Chemical_16 Chemical_71 Chemical_7
",Хубежев_НБ,asdfQWEkH8
Агакишиев Степан Алексеевич,Мифепристон,1911-06-06,"Chemical_54 Chemical_89 Chemical_44
",Агакишиев_СА,asdfQWEhj3
Сгонников Михаил Кириллович,Ингавирин,1463-01-04,"Chemical_67 Chemical_21 Chemical_35
",Сгонников_МК,asdfQWEkH1
Гермоченов Аркадий Леонидович,Кетопрофен,1948-11-11,"Chemical_74 Chemical_47 Chemical_87
",Гермоченов_АЛ,asdfQWEHh4
Анисинкова Катерина Аркадьевна,Золаир,1414-12-11,"Chemical_95 Chemical_7 Chemical_50
",Анисинкова_КА,asdfQWEGL7
Тормасова Клавдия Дмитриевна,Омепразол,1559-05-19,"Chemical_43 Chemical_18 Chemical_54
",Тормасова_КД,asdfQWEF58
Беклев Семён Яковлевич,Золедроновая кислота,1022-11-17,"Chemical_54 Chemical_97 Chemical_80
",Беклев_СЯ,asdfQWEj7h
Лузинов Вадим Михаилович,Дектанол,1537-12-04,"Chemical_16 Chemical_83 Chemical_46
",Лузинов_ВМ,asdfQWEg4k
Мизельков Дмитрий Викторович,Виагра,1414-09-17,"Chemical_29 Chemical_76 Chemical_67
",Мизельков_ДВ,asdfQWEFk8
Роговский Вадим Алексиевич,Иммунивит,1813-09-12,"Chemical_99 Chemical_11 Chemical_30
",Роговский_ВА,asdfQWEFc5
Затолопин Семён Олегович,Жасмин,1988-08-23,"Chemical_86 Chemical_34 Chemical_26
",Затолопин_СО,asdfQWEj97
Кущенкова Алиса Михайловна,Бисопролол,1176-03-21,"Chemical_77 Chemical_92 Chemical_31
",Кущенкова_АМ,asdfQWEg64
Хвощинская Катерина Федоровна,Золаир,0984-06-19,"Chemical_8 Chemical_80 Chemical_30
",Хвощинская_КФ,asdfQWEh2j
Шадыкина Кристина Яковлевна,Габапентин,1115-03-22,"Chemical_18 Chemical_15 Chemical_92
",Шадыкина_КЯ,asdfQWEJk2
Полхова Лариса Богдановна,Диклофенак,1391-04-27,"Chemical_99 Chemical_70 Chemical_85
",Полхова_ЛБ,asdfQWEgJ7
Капланская Кристина Дмитриевна,Золекс,1616-09-13,"Chemical_79 Chemical_52 Chemical_79
",Капланская_КД,asdfQWEHv6
Чушева Лиза Кирилловна,Кетопрофен,1839-02-24,"Chemical_6 Chemical_55 Chemical_56
",Чушева_ЛК,asdfQWEFg2
Ахмярова Вероника Михайловна,Виагра,1363-05-21,"Chemical_26 Chemical_28 Chemical_42
",Ахмярова_ВМ,asdfQWEgv3
Ксынкин Кирилл Олегович,Евалар солгар мультивитамини,1915-03-18,"Chemical_16 Chemical_27 Chemical_70
",Ксынкин_КО,asdfQWEh8H
Лантюгов Анатолий Адамович,Левофлоксацин,1760-06-01,"Chemical_21 Chemical_72 Chemical_4
",Лантюгов_АА,asdfQWEF9K
Бложкина Анна Ивановна,Норматен,1557-07-05,"Chemical_51 Chemical_67 Chemical_53
",Бложкина_АИ,asdfQWEj8m
Гейдаров Артур Викторович,Бензоилпероксид,1251-01-09,"Chemical_71 Chemical_94 Chemical_67
",Гейдаров_АВ,asdfQWEhg1
Челинцев Александр Максимович,Алпразолам,1971-11-07,"Chemical_52 Chemical_53 Chemical_81
",Челинцев_АМ,asdfQWEmc8
Горшенин Анатолий Фёдорович,Нимесулид,1976-01-19,"Chemical_7 Chemical_38 Chemical_13
",Горшенин_АФ,asdfQWEmL4
Гомбожапов Андрей Юриевич,Пентоксифиллин,1060-03-13,"Chemical_82 Chemical_78 Chemical_67
",Гомбожапов_АЮ,asdfQWEj8K
Беларова Вероника Михайловна,Бензоилпероксид,0979-04-08,"Chemical_86 Chemical_62 Chemical_41
",Беларова_ВМ,asdfQWEk4c
Шестимиров Михаил Фёдорович,Железа препараты,1887-03-13,"Chemical_87 Chemical_67 Chemical_20
",Шестимиров_МФ,asdfQWEGJ8
Масульская Инна Максимовна,Оланзапин,1286-04-02,"Chemical_18 Chemical_9 Chemical_77
",Масульская_ИМ,asdfQWEj2m
Сергушова Ева Викторовна,Железа препараты,1858-03-15,"Chemical_30 Chemical_69 Chemical_24
",Сергушова_ЕВ,asdfQWEmG4
Свецкая Наталья Ивановна,Диклофенак,1296-10-17,"Chemical_63 Chemical_31 Chemical_40
",Свецкая_НИ,asdfQWEFm4
Пудинова Мария Андреевна,Сетирозин,0961-06-17,"Chemical_26 Chemical_95 Chemical_60
",Пудинова_МА,asdfQWEk4L
Тихнова Ольга Богдановна,Глюкозамин,1124-07-15,"Chemical_86 Chemical_62 Chemical_81
",Тихнова_ОБ,asdfQWEkm3
Кофтерова Алёна Никитична,Левотироксин,1268-01-22,"Chemical_99 Chemical_59 Chemical_84
",Кофтерова_АН,asdfQWEg4H
Модоров Яков Фёдорович,Агонал,1157-01-26,"Chemical_43 Chemical_32 Chemical_25
",Модоров_ЯФ,asdfQWEk58
